effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2023-07-31,2023-07-28,True,"EWW,EWI,FEZ,XHB,PAVE",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-08-07,2023-08-04,True,"EWW,EWI,EWP,XHB,ECH",0.4,0.0002,"{'ECH': 0.2, 'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-08-14,2023-08-11,True,"EWW,EWI,FEZ,EWP,XHB",0.2,0.0001,"{'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-08-21,2023-08-18,False,SGOV,1.0,0.0005,{'SGOV': 1.0}
2023-08-28,2023-08-25,True,"EWW,EWI,FEZ,EWG,EWP",1.0,0.0005,"{'EWG': 0.2, 'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0}"
2023-09-05,2023-09-01,True,"EWI,EWW,XHB,FEZ,EPOL",0.4,0.0002,"{'EPOL': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-09-11,2023-09-08,True,"EWI,EWW,XHB,EPOL,FEZ",0.0,0.0,"{'EPOL': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-09-18,2023-09-15,True,"EWW,XHB,EWI,EPOL,FEZ",0.0,0.0,"{'EPOL': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-09-25,2023-09-22,True,"EWI,XHB,EWW,EPOL,FEZ",0.0,0.0,"{'EPOL': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-02,2023-09-29,True,"EWI,XHB,EWW,FEZ,PAVE",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-09,2023-10-06,True,"EWI,XHB,FEZ,EWW,IGV",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'IGV': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-16,2023-10-13,True,"EWI,FEZ,EWP,IGV,XHB",0.2,0.0001,"{'EWI': 0.2, 'EWP': 0.2, 'FEZ': 0.2, 'IGV': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
